gap_dates,site_id
12/7/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/8/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/9/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/10/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/11/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/12/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/13/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/14/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/15/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/16/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/17/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/18/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/19/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/20/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/21/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/22/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/23/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/24/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/25/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/26/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/27/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/28/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/29/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/30/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
12/31/2017,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/1/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/2/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/3/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/4/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/5/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/6/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/7/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/8/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/9/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/10/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/11/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/12/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/13/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/14/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/15/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/16/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/17/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/18/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/19/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/20/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/21/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/22/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/23/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/24/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/25/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/26/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/27/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/28/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/29/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/30/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
1/31/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/1/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/2/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/3/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/4/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/5/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/6/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/7/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/8/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/9/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/10/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/11/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/12/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/13/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/14/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/15/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/16/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/17/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/18/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/19/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/20/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/21/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/22/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/23/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/24/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/25/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/26/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/27/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
2/28/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/1/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/2/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/3/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/4/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/5/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/6/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/7/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/8/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/9/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/10/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/11/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/12/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/13/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/14/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/15/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/16/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/17/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/18/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/19/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/20/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/21/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/22/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/23/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/24/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/25/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/26/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/27/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/28/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/29/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/30/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
3/31/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/1/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/2/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/3/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/4/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/5/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/6/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/7/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/8/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/9/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/10/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/11/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/12/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/13/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/14/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/15/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/16/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/17/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/18/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/19/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/20/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/21/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/22/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/23/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/24/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/25/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/26/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/27/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/28/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/29/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
4/30/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/1/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/2/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/3/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/4/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/5/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/6/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/7/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/8/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/9/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/10/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/11/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/12/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/13/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/14/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/15/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/16/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/17/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/18/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/19/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/20/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/21/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/22/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/23/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/24/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/25/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/26/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/27/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/28/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/29/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/30/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
5/31/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
6/1/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
6/2/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
6/3/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
6/4/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
6/5/2018,5765f8aa-b69b-a03f-7cf5-560bc216929e
