month,day,hour,temp,kW
9,15,6,72,117.4725
9,15,7,71.1,116.0075
9,15,8,71.1,116.1575
9,15,9,71.1,118.155
9,15,10,73,122.9175
9,15,11,73.45,124.425
9,15,12,73.9,124.96
9,15,13,73.9,96.01
9,15,14,75,83.4325
9,15,15,75,83.4425
9,15,16,75.9,79.185
9,15,17,75,138.1375
9,15,18,73.9,136.0575
9,15,19,73,128.7625
9,15,20,72,125.1475
9,15,21,73,123.075
9,15,22,72,121.755
9,15,23,70,119
9,15,24,69.1,118.525
9,16,1,66.9,117.0575
9,16,2,66.9,117.795
9,16,3,66.9,115.865
9,16,4,66.9,115.4825
9,16,5,66.9,115.12
9,16,6,66.9,114.995
9,16,7,66.9,114.8475
9,16,8,66.9,115.405
9,16,9,68,117.9625
9,16,10,69.1,122.59
9,16,11,72,123.7025
9,16,12,75,119.4275
9,16,13,75.45,83.415
9,16,14,75.9,84.4
9,16,15,77,83.29
9,16,16,79,87.82
9,16,17,78.55,145.2325
9,16,18,75.9,130.21
9,16,19,73.9,124.0175
9,16,20,73.9,120.2525
9,16,21,73.9,120.415
9,16,22,73.9,119.215
9,16,23,72,118.305
9,16,24,71.1,117.9125
9,17,1,70,117.5775
9,17,2,70,117.1875
9,17,3,69.1,116.94
9,17,4,69.1,116.6875
9,17,5,69.1,116.86
9,17,6,69.1,116.3125
9,17,7,69.1,116.835
9,17,8,69.1,116.9575
9,17,9,69.7,116.6925
9,17,10,71.55,120.015
9,17,11,73.9,119.735
9,17,12,78.1,121.0625
9,17,13,79,122.0025
9,17,14,82,122.655
9,17,15,82,121.6125
9,17,16,81,122.7075
9,17,17,82,121.98
9,17,18,82.45,122.0375
9,17,19,80.1,121.0875
9,17,20,78.1,120.8875
9,17,21,75.9,120.17
9,17,22,75.9,120.065
9,17,23,75,120.025
9,17,24,75,120.6275
9,18,1,73.9,120.4375
9,18,2,73,120.9275
9,18,3,72,120.5725
9,18,4,72,118.3975
9,18,5,72,118.4575
9,18,6,71.87,119.3
9,18,7,72,118.925
9,18,8,72,119.9425
9,18,9,75,119.69
9,18,10,75.6,120.1575
9,18,11,78.55,122.375
9,18,12,81,122.7225
9,18,13,84,124.5625
9,18,14,88,124.9875
9,18,15,87.1,125.1875
9,18,16,87.1,125.285
9,18,17,86,125.465
9,18,18,84.9,125.6675
9,18,19,84,125.7325
9,18,20,82,125.82
9,18,21,81,125.3725
9,18,22,80.1,124.7475
9,18,23,79,124.875
9,18,24,79,125.99
9,19,1,78.1,126.125
9,19,2,78.1,126.3
9,19,3,78.1,125.9825
9,19,4,77,124.9925
9,19,5,77,124.775
9,19,6,77,124.9625
9,19,7,78.1,125.4825
9,19,8,77,126.2925
9,19,9,77.55,129.335
9,19,10,76.45,132.5825
9,19,11,73,133.75
9,19,12,73,135.5225
9,19,13,73,109.9775
9,19,14,73.9,90.2025
9,19,15,73.9,130.7875
9,19,16,74.7,146.47
9,19,17,75,139.095
9,19,18,74.63,134.91
9,19,19,73.9,128.92
9,19,20,73.9,126.98
9,19,21,73,124.625
9,19,22,73,123.1225
9,19,23,73,123.13
9,19,24,73,123.725
9,20,1,73,123.0775
9,20,2,72,122.1025
9,20,3,72,120.5725
9,20,4,72,120.4525
9,20,5,71.35,118.93
9,20,6,71.1,118.82
9,20,7,71.1,118.5
9,20,8,71.1,119.56
9,20,9,72,122.5575
9,20,10,72,124.0425
9,20,11,74,123.5925
9,20,12,75.45,125.9975
9,20,13,77,127.7625
9,20,14,79,127.12
9,20,15,79,127.0375
9,20,16,79,126.9075
9,20,17,79,127.2675
9,20,18,79,125.77
9,20,19,78.1,123.425
9,20,20,77,120.8325
9,20,21,75.9,119.21
9,20,22,75,116.35
9,20,23,75.9,118.785
9,20,24,75,115.96
9,21,1,75,115.0175
9,21,2,73.9,115.3775
9,21,3,73.9,115.47
9,21,4,75,114.9525
9,21,5,73.9,114.69
9,21,6,73,115.055
9,21,7,73,114.9375
9,21,8,73,116.6575
9,21,9,73.9,118.0875
9,21,10,75,121.64
9,21,11,77,123.19
9,21,12,79,123.12
9,21,13,81,96.035
9,21,14,82,83.3975
9,21,15,82,85.845
9,21,16,82,86.8725
9,21,17,81,104.175
9,21,18,80.1,139.255
9,21,19,80.1,124.88
9,21,20,79,120.7025
9,21,21,78.1,76.3575
9,21,22,77,64.63
9,21,23,77,56.4325
9,21,24,75,54.2325
9,22,1,73,53.9275
9,22,2,72,53.3775
9,22,3,72,53.4475
9,22,4,71.1,53.325
9,22,5,70,53.485
9,22,6,69.1,53.6475
9,22,7,69.1,54.145
9,22,8,70,56.22
